codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3540507,Porangaba (SP),2022,10451,856.4489934073168,259915,SP,-23.17384836000126,-48.11736306998429
3554003,Tatuí (SP),2022,123942,1375.358744908831,5978312,SP,-23.362071412347472,-47.86946806633226
3554508,Tietê (SP),2022,37663,1110.164300392069,2473359,SP,-23.04938199997626,-47.707712456663785
3502903,Araçoiaba da Serra (SP),2022,32443,1078.9475445145363,1215671,SP,-23.543846226772253,-47.65149375810089
3508405,Cabreúva (SP),2022,47011,1157.3750947010085,6625402,SP,-23.30130150670403,-47.08020847840623
3510302,Capela do Alto (SP),2022,22866,1007.4952663856253,442199,SP,-23.467415243608194,-47.73095652428853
3521002,Iperó (SP),2022,36459,1103.3283158346007,1140856,SP,-23.40448242836252,-47.62912180445847
3523909,Itu (SP),2022,168240,1447.9662216007612,11782989,SP,-23.30713280508111,-47.28461498553997
3528403,Mairinque (SP),2022,50027,1170.792846218741,2613753,SP,-23.507949560949395,-47.22928912912291
3540606,Porto Feliz (SP),2022,56497,1197.2611264069076,4346577,SP,-23.230300849278713,-47.51691785288881
3545209,Salto (SP),2022,134319,1394.2822275114459,10822152,SP,-23.180479272754962,-47.302612992724974
3545308,Salto de Pirapora (SP),2022,43748,1141.948955836707,2659063,SP,-23.65277068970426,-47.58062584965193
3550605,São Roque (SP),2022,79484,1273.1310763105012,3900210,SP,-23.548960367907867,-47.109542236034194
3551108,Sarapuí (SP),2022,10369,854.9916521903165,228901,SP,-23.664278860881332,-47.78575500720298
3552205,Sorocaba (SP),2022,723682,1820.3696069967784,54465436,SP,-23.46454329834367,-47.446756584150734
3557006,Votorantim (SP),2022,127923,1382.784036278465,4518922,SP,-23.579868719452136,-47.40655872799041
3509601,Campo Limpo Paulista (SP),2022,77632,1267.816320969089,2976085,SP,-23.217930458627364,-46.7600582886591
3523404,Itatiba (SP),2022,121590,1370.8686492223633,9032761,SP,-23.00670296881355,-46.81430403994055
3524006,Itupeva (SP),2022,70616,1246.574935563572,9479462,SP,-23.14647819124037,-47.068382306241084
3525201,Jarinu (SP),2022,37535,1109.4470223225703,3245903,SP,-23.111949987119644,-46.721312464144646
3525904,Jundiaí (SP),2022,443221,1690.4742202130005,63835907,SP,-23.19459099624199,-46.913001302330535
3527306,Louveira (SP),2022,51847,1178.538726861809,19241992,SP,-23.084043220830694,-46.93760509985308
3532009,Morungaba (SP),2022,13720,907.5629621116377,708976,SP,-22.893857232386132,-46.78254478008228
3556503,Várzea Paulista (SP),2022,115771,1359.4089436210663,4339126,SP,-23.219258588177535,-46.824904356664234
3504107,Atibaia (SP),2022,158647,1433.8713876752931,8826312,SP,-23.12325231813453,-46.58676978513893
3507100,Bom Jesus dos Perdões (SP),2022,22006,999.8140931271162,1845067,SP,-23.172509490655887,-46.47895803040357
